avg_acquire_hold_ns,avg_latency_ns,avg_outstanding,avg_release_drain_ns,baseline_throughput_tps,family,normalized_throughput,ooo_enabled,p99_latency_ns,param_name,param_value,throughput_tps,workload
0.0,15.0,2.747708333333333,0.0,249428393.26543337,release_shallow_scan,1.0,0,15.0,release_ratio,0.0,249428393.26543337,single_word
0.0,935.01,5.73125,0.0,82245296.59710085,release_deep_scan,1.0,0,1713.12,release_ratio,0.0,82245296.59710085,single_word
0.0,16.609166666666667,2.7470833333333333,1.0,249428393.26543337,release_shallow_scan,0.9995844587575317,0,17.0,release_ratio,0.02,249324745.48098898,single_word
0.0,2044.0775,5.7346875,54.0,82245296.59710085,release_deep_scan,0.8046157663992058,0,3961.5199999999995,release_ratio,0.02,66175862.3542063,single_word
0.0,19.0075,3.511041666666667,1.0158730158730158,249428393.26543337,release_shallow_scan,0.9989617940199336,0,20.0,release_ratio,0.05,249169435.21594682,single_word
0.0,2319.725,5.7325,46.470588235294116,82245296.59710085,release_deep_scan,0.7666903129187357,0,4697.0,release_ratio,0.05,63056672.18412548,single_word
0.0,21.770833333333332,4.392916666666666,1.117117117117117,249428393.26543337,release_shallow_scan,0.9985471149854711,0,22.0,release_ratio,0.1,249066002.49066,single_word
0.0,4501.14,5.7328125,52.39506172839506,82245296.59710085,release_deep_scan,0.5813758890681967,0,8505.06,release_ratio,0.1,47815432.430817045,single_word
0.0,23.13083333333333,4.5633333333333335,1.4566929133858268,249428393.26543337,release_shallow_scan,0.9981327800829874,0,24.0,release_ratio,0.2,248962655.60165972,single_word
0.0,8634.025,5.73125,47.18181818181818,82245296.59710085,release_deep_scan,0.39144432371524,0,16603.0,release_ratio,0.2,32194454.505211476,single_word
0.0,208.40666666666667,5.71375,2.189792663476874,249428393.26543337,release_shallow_scan,0.9259045419553502,0,394.0,release_ratio,0.5,230946882.21709004,single_word
0.0,17531.4575,5.7346875,32.12264150943396,82245296.59710085,release_deep_scan,0.2252611102105092,0,34985.06,release_ratio,0.5,18526666.821055554,single_word
0.0,619.5,5.732083333333334,0.0,199501246.882793,acquire_scan,1.0,0,1207.01,acquire_ratio,0.0,199501246.882793,single_word
9.0,619.5,5.731875,0.0,199501246.882793,acquire_scan,1.0,0,1207.01,acquire_ratio,0.02,199501246.882793,single_word
9.0,622.495,5.735,0.0,199501246.882793,acquire_scan,0.9995014955134595,0,1210.01,acquire_ratio,0.05,199401794.6161515,single_word
9.0,619.5,5.732083333333334,0.0,199501246.882793,acquire_scan,1.0,0,1207.01,acquire_ratio,0.1,199501246.882793,single_word
9.0,623.5333333333333,5.7325,0.0,199501246.882793,acquire_scan,0.9980089596814337,0,1211.01,acquire_ratio,0.2,199104031.8566451,single_word
204.14493722838455,59462.63890362579,5.637321428571428,91.94375954166419,9960947.346744416,domain_scaling_ooo,0.9821500664603233,1,130382.00991086556,domains,1.0,9783145.09861281,uniform_rw
206.1787194271647,57478.93910204198,5.675892857142857,58.76244675293263,10180182.476094497,domain_scaling_ooo,0.9868134147645482,1,126644.99970349159,domains,2.0,10045940.632161025,uniform_rw
219.9848221496893,61080.00854052661,5.675178571428572,23.285060682500415,10006667.916083816,domain_scaling_ooo,1.00132420057501,1,126694.54821525073,domains,4.0,10019918.75149223,uniform_rw
219.93564155494113,62499.79874215373,5.686428571428571,6.996391887787072,9523518.558382943,domain_scaling_ooo,0.9950206111211598,1,134283.61279694937,domains,8.0,9476097.255985903,uniform_rw
